,Unnamed: 7,Unnamed: 1
138,Oesterwurth,Schleswig-Holstein
139,Herzogtum Lauenburg,Schleswig-Holstein
140,Geesthacht,Schleswig-Holstein
141,Lauenburg/ Elbe,Schleswig-Holstein
142,Mölln,Schleswig-Holstein
143,Ratzeburg,Schleswig-Holstein
144,Schwarzenbek,Schleswig-Holstein
145,Wentorf bei Hamburg,Schleswig-Holstein
146,Amt Berkenthin,Schleswig-Holstein
147,Behlendorf,Schleswig-Holstein
148,Berkenthin,Schleswig-Holstein
149,Bliestorf,Schleswig-Holstein
150,Düchelsdorf,Schleswig-Holstein
151,Göldenitz,Schleswig-Holstein
152,Kastorf,Schleswig-Holstein
153,Klempau,Schleswig-Holstein
154,Krummesse,Schleswig-Holstein
155,Niendorf bei Berkenthin,Schleswig-Holstein
156,Rondeshagen,Schleswig-Holstein
157,Sierksrade,Schleswig-Holstein
158,Amt Breitenfelde,Schleswig-Holstein
159,Alt-Mölln,Schleswig-Holstein
160,Bälau,Schleswig-Holstein
161,Borstorf,Schleswig-Holstein
162,Breitenfelde,Schleswig-Holstein
163,Grambek,Schleswig-Holstein
164,Hornbek,Schleswig-Holstein
165,Lehmrade,Schleswig-Holstein
166,Niendorf/ Stecknitz,Schleswig-Holstein
167,Schretstaken,Schleswig-Holstein
168,Talkau,Schleswig-Holstein
169,Woltersdorf,Schleswig-Holstein
170,Amt Büchen,Schleswig-Holstein
171,Besenthal,Schleswig-Holstein
172,Bröthen,Schleswig-Holstein
173,Büchen,Schleswig-Holstein
174,Fitzen,Schleswig-Holstein
175,Göttin,Schleswig-Holstein
176,Gudow,Schleswig-Holstein
177,Güster,Schleswig-Holstein
178,Klein Pampau,Schleswig-Holstein
179,Langenlehsten,Schleswig-Holstein
180,Müssen,Schleswig-Holstein
181,Roseburg,Schleswig-Holstein
182,Schulendorf,Schleswig-Holstein
183,Siebeneichen,Schleswig-Holstein
184,Tramm,Schleswig-Holstein
185,Witzeeze,Schleswig-Holstein
186,Amt Hohe Elbgeest,Schleswig-Holstein
187,Aumühle,Schleswig-Holstein
188,Börnsen,Schleswig-Holstein
189,Dassendorf,Schleswig-Holstein
190,Escheburg,Schleswig-Holstein
191,Hamwarde,Schleswig-Holstein
192,Hohenhorn,Schleswig-Holstein
193,Kröppelshagen-Fahrendorf,Schleswig-Holstein
194,Wiershop,Schleswig-Holstein
195,Wohltorf,Schleswig-Holstein
196,Worth,Schleswig-Holstein
197,Amt Lütau,Schleswig-Holstein
198,Basedow,Schleswig-Holstein
199,Buchhorst,Schleswig-Holstein
200,Dalldorf,Schleswig-Holstein
201,Juliusburg,Schleswig-Holstein
202,Krüzen,Schleswig-Holstein
203,Krukow,Schleswig-Holstein
204,Lanze,Schleswig-Holstein
205,Lütau,Schleswig-Holstein
206,Schnakenbek,Schleswig-Holstein
207,Wangelau,Schleswig-Holstein
208,Amt Lauenburgische Seen,Schleswig-Holstein
209,Albsfelde,Schleswig-Holstein
210,Bäk,Schleswig-Holstein
211,Brunsmark,Schleswig-Holstein
212,Buchholz,Schleswig-Holstein
213,Einhaus,Schleswig-Holstein
214,Fredeburg,Schleswig-Holstein
215,Giesensdorf,Schleswig-Holstein
216,Groß Disnack,Schleswig-Holstein
217,Groß Grönau,Schleswig-Holstein
218,Groß Sarau,Schleswig-Holstein
219,Harmsdorf,Schleswig-Holstein
220,Hollenbek,Schleswig-Holstein
221,Horst,Schleswig-Holstein
222,Kittlitz,Schleswig-Holstein
223,Klein Zecher,Schleswig-Holstein
224,Kulpin,Schleswig-Holstein
225,Mechow,Schleswig-Holstein
226,Mustin,Schleswig-Holstein
227,Pogeez,Schleswig-Holstein
228,Römnitz,Schleswig-Holstein
229,Salem,Schleswig-Holstein
230,Schmilau,Schleswig-Holstein
231,Seedorf,Schleswig-Holstein
232,Sterley,Schleswig-Holstein
233,Ziethen,Schleswig-Holstein
234,Amt Schwarzenbek-Land,Schleswig-Holstein
235,Basthorst,Schleswig-Holstein
236,Brunstorf,Schleswig-Holstein
237,Dahmker,Schleswig-Holstein
238,Elmenhorst,Schleswig-Holstein
239,Fuhlenhagen,Schleswig-Holstein
240,Grabau,Schleswig-Holstein
241,Groß Pampau,Schleswig-Holstein
242,Grove,Schleswig-Holstein
243,Gülzow,Schleswig-Holstein
244,Hamfelde,Schleswig-Holstein
245,Havekost,Schleswig-Holstein
246,Kankelau,Schleswig-Holstein
247,Kasseburg,Schleswig-Holstein
248,Köthel,Schleswig-Holstein
249,Kollow,Schleswig-Holstein
250,Kuddewörde,Schleswig-Holstein
251,Möhnsen,Schleswig-Holstein
252,Mühlenrade,Schleswig-Holstein
253,Sahms,Schleswig-Holstein
254,Amt Sandesneben-Nusse,Schleswig-Holstein
255,Duvensee,Schleswig-Holstein
256,Grinau,Schleswig-Holstein
257,Groß Boden,Schleswig-Holstein
258,Groß Schenkenberg,Schleswig-Holstein
259,Klinkrade,Schleswig-Holstein
260,Koberg,Schleswig-Holstein
261,Kühsen,Schleswig-Holstein
262,Labenz,Schleswig-Holstein
263,Lankau,Schleswig-Holstein
264,Linau,Schleswig-Holstein
265,Lüchow,Schleswig-Holstein
266,Nusse,Schleswig-Holstein
267,Panten,Schleswig-Holstein
268,Poggensee,Schleswig-Holstein
269,Ritzerau,Schleswig-Holstein
270,Sandesneben,Schleswig-Holstein
271,Schiphorst,Schleswig-Holstein
272,Schönberg,Schleswig-Holstein
273,Schürensöhlen,Schleswig-Holstein
274,Siebenbäumen,Schleswig-Holstein
275,Sirksfelde,Schleswig-Holstein
276,Steinhorst,Schleswig-Holstein
277,Stubben,Schleswig-Holstein
278,Walksfelde,Schleswig-Holstein
279,Wentorf (Amt Sandesneben),Schleswig-Holstein
280,Sachsenwald (Forstgutsbez.),Schleswig-Holstein
281,Nordfriesland,Schleswig-Holstein
282,Friedrichstadt,Schleswig-Holstein
283,Husum,Schleswig-Holstein
284,Reußenköge,Schleswig-Holstein
285,Tönning,Schleswig-Holstein
286,Sylt,Schleswig-Holstein
287,Amt Eiderstedt,Schleswig-Holstein
288,Garding,Schleswig-Holstein
289,Garding,Schleswig-Holstein
290,Grothusenkoog,Schleswig-Holstein
291,Katharinenheerd,Schleswig-Holstein
292,Kotzenbüll,Schleswig-Holstein
293,Norderfriedrichskoog,Schleswig-Holstein
294,Oldenswort,Schleswig-Holstein
295,Osterhever,Schleswig-Holstein
296,Poppenbüll,Schleswig-Holstein
297,Sankt Peter-Ording,Schleswig-Holstein
298,Tating,Schleswig-Holstein
299,Tetenbüll,Schleswig-Holstein
300,Tümlauer Koog,Schleswig-Holstein
301,Vollerwiek,Schleswig-Holstein
302,Welt,Schleswig-Holstein
303,Westerhever,Schleswig-Holstein
304,Amt Landschaft Sylt,Schleswig-Holstein
305,Hörnum (Sylt),Schleswig-Holstein
306,Kampen (Sylt),Schleswig-Holstein
307,List auf Sylt,Schleswig-Holstein
308,Wenningstedt-Braderup (Sylt),Schleswig-Holstein
309,Amt Viöl,Schleswig-Holstein
310,Ahrenviöl,Schleswig-Holstein
311,Ahrenviölfeld,Schleswig-Holstein
312,Behrendorf,Schleswig-Holstein
313,Bondelum,Schleswig-Holstein
314,Haselund,Schleswig-Holstein
315,Immenstedt,Schleswig-Holstein
316,Löwenstedt,Schleswig-Holstein
317,Norstedt,Schleswig-Holstein
318,Oster-Ohrstedt,Schleswig-Holstein
319,Schwesing,Schleswig-Holstein
320,Sollwitt,Schleswig-Holstein
321,Viöl,Schleswig-Holstein
322,Wester-Ohrstedt,Schleswig-Holstein
323,Amt Pellworm,Schleswig-Holstein
324,Gröde,Schleswig-Holstein
325,Hallig Hooge,Schleswig-Holstein
326,Langeneß,Schleswig-Holstein
327,Pellworm,Schleswig-Holstein
328,Amt Föhr-Amrum,Schleswig-Holstein
329,Alkersum,Schleswig-Holstein
330,Borgsum,Schleswig-Holstein
331,Dunsum,Schleswig-Holstein
332,Midlum,Schleswig-Holstein
333,Nebel,Schleswig-Holstein
334,Nieblum,Schleswig-Holstein
335,Norddorf auf Amrum,Schleswig-Holstein
336,Oevenum,Schleswig-Holstein
337,Oldsum,Schleswig-Holstein
338,Süderende,Schleswig-Holstein
339,Utersum,Schleswig-Holstein
340,Witsum,Schleswig-Holstein
341,Wittdün auf Amrum,Schleswig-Holstein
342,Wrixum,Schleswig-Holstein
343,Wyk auf Föhr,Schleswig-Holstein
344,Amt Südtondern,Schleswig-Holstein
345,Achtrup,Schleswig-Holstein
346,Aventoft,Schleswig-Holstein
347,Bosbüll,Schleswig-Holstein
348,Braderup,Schleswig-Holstein
349,Bramstedtlund,Schleswig-Holstein
350,Dagebüll,Schleswig-Holstein
351,Ellhöft,Schleswig-Holstein
352,Friedrich-Wilhelm-Lübke-Koog,Schleswig-Holstein
353,Holm,Schleswig-Holstein
354,Humptrup,Schleswig-Holstein
355,Karlum,Schleswig-Holstein
356,Klanxbüll,Schleswig-Holstein
357,Klixbüll,Schleswig-Holstein
358,Ladelund,Schleswig-Holstein
359,Leck,Schleswig-Holstein
360,Lexgaard,Schleswig-Holstein
361,Neukirchen,Schleswig-Holstein
362,Niebüll,Schleswig-Holstein
363,Risum-Lindholm,Schleswig-Holstein
364,Rodenäs,Schleswig-Holstein
365,Sprakebüll,Schleswig-Holstein
366,Stadum,Schleswig-Holstein
367,Stedesand,Schleswig-Holstein
368,Süderlügum,Schleswig-Holstein
369,Tinningstedt,Schleswig-Holstein
370,Uphusum,Schleswig-Holstein
371,Westre,Schleswig-Holstein
372,Galmsbüll,Schleswig-Holstein
373,Emmelsbüll-Horsbüll,Schleswig-Holstein
374,Enge-Sande,Schleswig-Holstein
375,Amt Nordsee-Treene,Schleswig-Holstein
376,Arlewatt,Schleswig-Holstein
377,Drage,Schleswig-Holstein
378,Elisabeth-Sophien-Koog,Schleswig-Holstein
379,Fresendelf,Schleswig-Holstein
380,Hattstedt,Schleswig-Holstein
381,Hattstedtermarsch,Schleswig-Holstein
382,Horstedt,Schleswig-Holstein
383,Hude,Schleswig-Holstein
384,Koldenbüttel,Schleswig-Holstein
385,Mildstedt,Schleswig-Holstein
386,Nordstrand,Schleswig-Holstein
387,Oldersbek,Schleswig-Holstein
388,Olderup,Schleswig-Holstein
389,Ostenfeld (Husum),Schleswig-Holstein
390,Ramstedt,Schleswig-Holstein
391,Rantrum,Schleswig-Holstein
392,Schwabstedt,Schleswig-Holstein
393,Seeth,Schleswig-Holstein
394,Simonsberg,Schleswig-Holstein
395,Süderhöft,Schleswig-Holstein
396,Südermarsch,Schleswig-Holstein
397,Uelvesbüll,Schleswig-Holstein
398,Winnert,Schleswig-Holstein
399,Wisch,Schleswig-Holstein
400,Wittbek,Schleswig-Holstein
401,Witzwort,Schleswig-Holstein
402,Wobbenbüll,Schleswig-Holstein
403,Amt Mittleres Nordfriesland,Schleswig-Holstein
404,Ahrenshöft,Schleswig-Holstein
405,Almdorf,Schleswig-Holstein
406,Bargum,Schleswig-Holstein
407,Bohmstedt,Schleswig-Holstein
408,Bordelum,Schleswig-Holstein
409,Bredstedt,Schleswig-Holstein
410,Breklum,Schleswig-Holstein
411,Drelsdorf,Schleswig-Holstein
412,Goldebek,Schleswig-Holstein
413,Goldelund,Schleswig-Holstein
414,Högel,Schleswig-Holstein
415,Joldelund,Schleswig-Holstein
416,Kolkerheide,Schleswig-Holstein
417,Langenhorn,Schleswig-Holstein
418,Lütjenholm,Schleswig-Holstein
419,Ockholm,Schleswig-Holstein
420,Sönnebüll,Schleswig-Holstein
421,Struckum,Schleswig-Holstein
422,Vollstedt,Schleswig-Holstein
423,Ostholstein,Schleswig-Holstein
424,Ahrensbök,Schleswig-Holstein
425,Bad Schwartau,Schleswig-Holstein
426,Bosau,Schleswig-Holstein
427,Dahme,Schleswig-Holstein
428,Eutin,Schleswig-Holstein
429,Grömitz,Schleswig-Holstein
430,Grube,Schleswig-Holstein
431,Heiligenhafen,Schleswig-Holstein
432,Kellenhusen (Ostsee),Schleswig-Holstein
433,Malente,Schleswig-Holstein
434,Neustadt in Holstein,Schleswig-Holstein
435,Oldenburg in Holstein,Schleswig-Holstein
436,Ratekau,Schleswig-Holstein
437,Stockelsdorf,Schleswig-Holstein
438,Süsel,Schleswig-Holstein
439,Timmendorfer Strand,Schleswig-Holstein
440,Scharbeutz,Schleswig-Holstein
441,Fehmarn,Schleswig-Holstein
442,Amt Oldenburg-Land,Schleswig-Holstein
443,Göhl,Schleswig-Holstein
444,Gremersdorf,Schleswig-Holstein
445,Großenbrode,Schleswig-Holstein
446,Heringsdorf,Schleswig-Holstein
447,Neukirchen,Schleswig-Holstein
448,Wangels,Schleswig-Holstein
449,Amt Lensahn,Schleswig-Holstein
450,Beschendorf,Schleswig-Holstein
451,Damlos,Schleswig-Holstein
452,Harmsdorf,Schleswig-Holstein
453,Kabelhorst,Schleswig-Holstein
454,Lensahn,Schleswig-Holstein
455,Manhagen,Schleswig-Holstein
456,Riepsdorf,Schleswig-Holstein
457,Amt Ostholstein-Mitte,Schleswig-Holstein
458,Altenkrempe,Schleswig-Holstein
459,Kasseedorf,Schleswig-Holstein
460,Schashagen,Schleswig-Holstein
461,Schönwalde am Bungsberg,Schleswig-Holstein
462,Sierksdorf,Schleswig-Holstein
463,Pinneberg,Schleswig-Holstein
464,Barmstedt,Schleswig-Holstein
465,Bönningstedt,Schleswig-Holstein
466,Elmshorn,Schleswig-Holstein
467,Halstenbek,Schleswig-Holstein
468,Hasloh,Schleswig-Holstein
469,Helgoland,Schleswig-Holstein
470,Pinneberg,Schleswig-Holstein
471,Quickborn,Schleswig-Holstein
472,Rellingen,Schleswig-Holstein
473,Schenefeld,Schleswig-Holstein
474,Tornesch,Schleswig-Holstein
475,Uetersen,Schleswig-Holstein
476,Wedel,Schleswig-Holstein
477,Amt Elmshorn-Land,Schleswig-Holstein
478,Klein Nordende,Schleswig-Holstein
479,Klein Offenseth-Sparrieshoop,Schleswig-Holstein
480,Kölln-Reisiek,Schleswig-Holstein
481,Seester,Schleswig-Holstein
482,Raa-Besenbek,Schleswig-Holstein
483,Seestermühe,Schleswig-Holstein
484,Seeth-Ekholt,Schleswig-Holstein
485,Amt Hörnerkirchen,Schleswig-Holstein
486,Bokel,Schleswig-Holstein
487,Brande-Hörnerkirchen,Schleswig-Holstein
488,Osterhorn,Schleswig-Holstein
489,Westerhorn,Schleswig-Holstein
490,Amt Rantzau,Schleswig-Holstein
491,Bevern,Schleswig-Holstein
492,Bilsen,Schleswig-Holstein
493,Bokholt-Hanredder,Schleswig-Holstein
494,Bullenkuhlen,Schleswig-Holstein
495,Ellerhoop,Schleswig-Holstein
496,Groß Offenseth-Aspern,Schleswig-Holstein
497,Heede,Schleswig-Holstein
498,Hemdingen,Schleswig-Holstein
499,Langeln,Schleswig-Holstein
500,Lutzhorn,Schleswig-Holstein
501,Amt Pinnau,Schleswig-Holstein
502,Borstel-Hohenraden,Schleswig-Holstein
503,Ellerbek,Schleswig-Holstein
504,Kummerfeld,Schleswig-Holstein
505,Prisdorf,Schleswig-Holstein
506,Tangstedt,Schleswig-Holstein
507,Amt Geest und Marsch Südholstein,Schleswig-Holstein
508,Appen,Schleswig-Holstein
509,Groß Nordende,Schleswig-Holstein
510,Haselau,Schleswig-Holstein
511,Haseldorf,Schleswig-Holstein
512,Heidgraben,Schleswig-Holstein
513,Heist,Schleswig-Holstein
514,Hetlingen,Schleswig-Holstein
515,Holm,Schleswig-Holstein
516,Moorrege,Schleswig-Holstein
517,Neuendeich,Schleswig-Holstein
518,Plön,Schleswig-Holstein
519,Ascheberg (Holstein),Schleswig-Holstein
520,Bönebüttel,Schleswig-Holstein
521,Bösdorf,Schleswig-Holstein
522,Plön,Schleswig-Holstein
523,Preetz,Schleswig-Holstein
524,Schwentinental,Schleswig-Holstein
525,Amt Lütjenburg,Schleswig-Holstein
526,Behrensdorf (Ostsee),Schleswig-Holstein
527,Blekendorf,Schleswig-Holstein
528,Dannau,Schleswig-Holstein
529,Giekau,Schleswig-Holstein
530,Helmstorf,Schleswig-Holstein
531,Högsdorf,Schleswig-Holstein
532,Hohenfelde,Schleswig-Holstein
533,Hohwacht (Ostsee),Schleswig-Holstein
534,Kirchnüchel,Schleswig-Holstein
535,Klamp,Schleswig-Holstein
536,Kletkamp,Schleswig-Holstein
537,Lütjenburg,Schleswig-Holstein
538,Panker,Schleswig-Holstein
539,Schwartbuck,Schleswig-Holstein
540,Tröndel,Schleswig-Holstein
541,Amt Großer Plöner See,Schleswig-Holstein
542,Dersau,Schleswig-Holstein
543,Dörnick,Schleswig-Holstein
544,Grebin,Schleswig-Holstein
545,Kalübbe,Schleswig-Holstein
546,Lebrade,Schleswig-Holstein
547,Nehmten,Schleswig-Holstein
548,Rantzau,Schleswig-Holstein
549,Rathjensdorf,Schleswig-Holstein
550,Wittmoldt,Schleswig-Holstein
551,Amt Preetz-Land,Schleswig-Holstein
552,Barmissen,Schleswig-Holstein
553,Boksee,Schleswig-Holstein
554,Bothkamp,Schleswig-Holstein
555,Großbarkau,Schleswig-Holstein
556,Honigsee,Schleswig-Holstein
557,Kirchbarkau,Schleswig-Holstein
558,Klein Barkau,Schleswig-Holstein
559,Kühren,Schleswig-Holstein
560,Lehmkuhlen,Schleswig-Holstein
561,Löptin,Schleswig-Holstein
562,Nettelsee,Schleswig-Holstein
563,Pohnsdorf,Schleswig-Holstein
564,Postfeld,Schleswig-Holstein
565,Rastorf,Schleswig-Holstein
566,Schellhorn,Schleswig-Holstein
567,Wahlstorf,Schleswig-Holstein
568,Warnau,Schleswig-Holstein
569,Amt Probstei,Schleswig-Holstein
570,Barsbek,Schleswig-Holstein
571,Bendfeld,Schleswig-Holstein
572,Brodersdorf,Schleswig-Holstein
573,Fahren,Schleswig-Holstein
574,Fiefbergen,Schleswig-Holstein
575,Höhndorf,Schleswig-Holstein
576,Köhn,Schleswig-Holstein
577,Krokau,Schleswig-Holstein
578,Krummbek,Schleswig-Holstein
579,Laboe,Schleswig-Holstein
580,Lutterbek,Schleswig-Holstein
581,Passade,Schleswig-Holstein
582,Prasdorf,Schleswig-Holstein
583,Probsteierhagen,Schleswig-Holstein
584,Schönberg (Holstein),Schleswig-Holstein
585,Stakendorf,Schleswig-Holstein
586,Stein,Schleswig-Holstein
587,Stoltenberg,Schleswig-Holstein
588,Wendtorf,Schleswig-Holstein
589,Wisch,Schleswig-Holstein
590,Amt Selent/Schlesen,Schleswig-Holstein
591,Dobersdorf,Schleswig-Holstein
592,Lammershagen,Schleswig-Holstein
593,Martensrade,Schleswig-Holstein
594,Mucheln,Schleswig-Holstein
595,Schlesen,Schleswig-Holstein
596,Selent,Schleswig-Holstein
597,Fargau-Pratjau,Schleswig-Holstein
598,Amt Schrevenborn,Schleswig-Holstein
599,Heikendorf,Schleswig-Holstein
600,Mönkeberg,Schleswig-Holstein
601,Schönkirchen,Schleswig-Holstein
602,Amt Bokhorst-Wankendorf,Schleswig-Holstein
603,Belau,Schleswig-Holstein
604,Großharrie,Schleswig-Holstein
605,Rendswühren,Schleswig-Holstein
606,Ruhwinkel,Schleswig-Holstein
607,Schillsdorf,Schleswig-Holstein
608,Stolpe,Schleswig-Holstein
609,Tasdorf,Schleswig-Holstein
610,Wankendorf,Schleswig-Holstein
611,Rendsburg-Eckernförde,Schleswig-Holstein
612,Altenholz,Schleswig-Holstein
613,Büdelsdorf,Schleswig-Holstein
614,Eckernförde,Schleswig-Holstein
615,Kronshagen,Schleswig-Holstein
616,Rendsburg,Schleswig-Holstein
617,Wasbek,Schleswig-Holstein
618,Amt Achterwehr,Schleswig-Holstein
619,Achterwehr,Schleswig-Holstein
620,Bredenbek,Schleswig-Holstein
621,Felde,Schleswig-Holstein
622,Krummwisch,Schleswig-Holstein
623,Melsdorf,Schleswig-Holstein
624,Ottendorf,Schleswig-Holstein
625,Quarnbek,Schleswig-Holstein
626,Westensee,Schleswig-Holstein
627,Amt Dänischenhagen,Schleswig-Holstein
628,Dänischenhagen,Schleswig-Holstein
629,Noer,Schleswig-Holstein
630,Schwedeneck,Schleswig-Holstein
631,Strande,Schleswig-Holstein
632,Amt Dänischer Wohld,Schleswig-Holstein
633,Felm,Schleswig-Holstein
634,Gettorf,Schleswig-Holstein
635,Lindau,Schleswig-Holstein
636,Neudorf-Bornstein,Schleswig-Holstein
637,Neuwittenbek,Schleswig-Holstein
638,Osdorf,Schleswig-Holstein
639,Schinkel,Schleswig-Holstein
640,Tüttendorf,Schleswig-Holstein
641,Amt Flintbek,Schleswig-Holstein
642,Böhnhusen,Schleswig-Holstein
643,Flintbek,Schleswig-Holstein
644,Schönhorst,Schleswig-Holstein
645,Techelsdorf,Schleswig-Holstein
646,Amt Fockbek,Schleswig-Holstein
647,Alt Duvenstedt,Schleswig-Holstein
648,Fockbek,Schleswig-Holstein
649,Nübbel,Schleswig-Holstein
650,Rickert,Schleswig-Holstein
651,Amt Hohner Harde,Schleswig-Holstein
652,Bargstall,Schleswig-Holstein
653,Breiholz,Schleswig-Holstein
654,Christiansholm,Schleswig-Holstein
655,Elsdorf-Westermühlen,Schleswig-Holstein
656,Friedrichsgraben,Schleswig-Holstein
657,Friedrichsholm,Schleswig-Holstein
658,Hamdorf,Schleswig-Holstein
659,Hohn,Schleswig-Holstein
660,Königshügel,Schleswig-Holstein
661,Lohe-Föhrden,Schleswig-Holstein
662,Prinzenmoor,Schleswig-Holstein
663,Sophienhamm,Schleswig-Holstein
664,Amt Jevenstedt,Schleswig-Holstein
665,Brinjahe,Schleswig-Holstein
666,Embühren,Schleswig-Holstein
667,Haale,Schleswig-Holstein
668,Hamweddel,Schleswig-Holstein
669,Hörsten,Schleswig-Holstein
670,Jevenstedt,Schleswig-Holstein
671,Luhnstedt,Schleswig-Holstein
672,Schülp b. Rendsburg,Schleswig-Holstein
673,Stafstedt,Schleswig-Holstein
674,Westerrönfeld,Schleswig-Holstein
675,Amt Molfsee,Schleswig-Holstein
676,Blumenthal,Schleswig-Holstein
677,Mielkendorf,Schleswig-Holstein
678,Molfsee,Schleswig-Holstein
679,Rodenbek,Schleswig-Holstein
680,Rumohr,Schleswig-Holstein
681,Schierensee,Schleswig-Holstein
682,Amt Nortorfer Land,Schleswig-Holstein
683,Bargstedt,Schleswig-Holstein
684,Bokel,Schleswig-Holstein
